timestamp,datapath_id,ip_src,ip_dst,ip_proto,flow_duration_sec,packet_count,byte_count,packet_rate,byte_rate,idle_timeout
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
1767583661.460346,5,10.0.0.2,10.0.0.18,6,0,0,0,0.0,0.0,20
